word,n
gehören,49
gesundheitssystem,49
hamilton,49
impfstatus,49
jüngsten,49
kurier,49
landesregierung,49
nutzen,49
plant,49
projekt,49
schutzmaßnahmen,49
sofort,49
österreichischen,49
anlaufstellen,48
auffrischungsimpfung,48
begonnen,48
bestehen,48
geld,48
genannt,48
gleichzeitig,48
herdenimmunität,48
höchste,48
jena,48
kurier.at,48
luft,48
läuft,48
marburg,48
spielen,48
starten,48
stern.de,48
teilen,48
tirol,48
toten,48
untersuchung,48
virologin,48
vorarlberg,48
ausbreitung,47
bremen,47
deutschlands,47
häufigsten,47
johannes,47
konzentrationsstörungen,47
krankheiten,47
körperliche,47
leider,47
mitteilte,47
plötzlich,47
praxis,47
rostock,47
vorjahr,47
wahrscheinlichkeit,47
anzeichen,46
bekämpfung,46
coronainfektion,46
droht,46
fehler,46
hinaus,46
impfschäden,46
kosten,46
köln,46
laschet,46
magazine,46
möglichst,46
rosenheim,46
tod,46
unterschätzt,46
unterstützt,46
verabreicht,46
vorerkrankungen,46
weisen,46
wieler,46
aufgehoben,45
beschäftigen,45
bitte,45
britischen,45
chefärztin,45
entdeckt,45
europäischen,45
focus.de,45
früh,45
gestorben,45
hinweise,45
idw,45
infektionsschutzgesetz,45
kassel,45
massiv,45
ruft,45
that,45
unterricht,45
verfügung,45
verhindern,45
weist,45
wirkt,45
wort,45
www.focus.de,45
zeiten,45
bestätigt,44
betrifft,44
breisgau,44
bürgermeister,44
erreichen,44
erzählt,44
gefährlich,44
gesundheitspolitiker,44
gesundheitsämter,44
gruppen,44
hochschwarzwald,44
kampagne,44
leitlinie,44
leute,44
licht,44
london,44
manchmal,44
medikamente,44
orf,44
pläne,44
schaffen,44
schlägt,44
spital,44
staaten,44
sterben,44
unterstützen,44
vorwoche,44
zieht,44
zählen,44
ausreichend,43
bzw,43
depressionen,43
epidemiologe,43
erforscht,43
erleben,43
hervorgeht,43
intensivstation,43
jüngeren,43
karliczek,43
kreiszeitung.de,43
monatelang,43
männer,43
nachricht,43
niveau,43
not,43
nürnberg,43
offiziell,43
ostern,43
plan,43
reagiert,43
schülerinnen,43
steigende,43
unklar,43
with,43
world,43
ältere,43
alte,42
antwort,42
aufmerksamkeit,42
besuch,42
betont,42
blut,42
ebenfalls,42
erklären,42
familie,42
fußball,42
italien,42
kitas,42
krankenhäusern,42
langfristige,42
langfristigen,42
lanz,42
meldete,42
mutter,42
positive,42
reduziert,42
regelung,42
relativ,42
restaurants,42
sebastian,42
sinken,42
syndroms,42
unterstützung,42
warten,42
zürich,42
beispielsweise,41
betonte,41
datenlage,41
dresden,41
einsatz,41
freiheit,41
guten,41
impfstoffen,41
impfzentren,41
infektionsgeschehen,41
klare,41
kommission,41
maischberger,41
mdr,41
müde,41
nachfrage,41
psychischen,41
stärker,41
verursacht,41
wissenschaftlichen,41
